name,group,calorie,carbohydrate,protein,lipid,salt
（砂糖類）　液糖　転化型液糖　　,3,307,79.3,0,0,0
（砂糖類）　氷糖みつ　　　,3,265,68.2,0.2,0,0
（でん粉糖類）　粉あめ　　　,3,381,97,0,0,0
（でん粉糖類）　水あめ　酵素糖化　　,3,328,85,0,0,0
（でん粉糖類）　水あめ　酸糖化　　,3,328,85,0,0,0
（でん粉糖類）　ぶどう糖　全糖　　,3,335,91,0,0,0
（でん粉糖類）　ぶどう糖　含水結晶　　,3,336,91.3,0,0,0
（でん粉糖類）　ぶどう糖　無水結晶　　,3,367,99.7,0,0,0
（でん粉糖類）　果糖　　　,3,368,99.9,0,0,0
（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖　　,3,276,75,0,0,0
（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖　　,3,276,75,0,0,0
（でん粉糖類）　異性化液糖　高果糖液糖　　,3,276,75,0,0,0
（その他）　黒蜜　,3,199,50.5,1,0,0
（その他）　はちみつ　,3,294,79.7,0.2,0,0
（その他）　メープルシロップ　　　,3,257,66.3,0.1,0,0
あずき　全粒　乾　　　,4,339,58.7,20.3,2.2,0
あずき　全粒　ゆで　　　,4,143,24.2,8.9,1,0
あずき　ゆで小豆缶詰　　　,4,218,49.2,4.4,0.4,0.2
あずき　あん　こしあん　　,4,155,27.1,9.8,0.6,0
あずき　あん　さらしあん　　,4,385,66.8,26.2,1,0
あずき　あん　つぶしあん　　,4,244,54,5.6,0.6,0.1
いんげんまめ　全粒　乾　　　,4,333,57.8,19.9,2.2,0
いんげんまめ　全粒　ゆで　　　,4,143,24.8,8.5,1,0
いんげんまめ　うずら豆　,4,237,49.6,6.7,1.3,0.3
いんげんまめ　こしあん　　　,4,155,27,9.4,0.9,0
いんげんまめ　豆きんとん　　　,4,249,56.2,4.9,0.5,0.3
えんどう　全粒　青えんどう　乾　　,4,352,60.4,21.7,2.3,0
えんどう　全粒　赤えんどう　乾　　,4,352,60.4,21.7,2.3,0
えんどう　全粒　青えんどう　ゆで　　,4,148,25.2,9.2,1,0
えんどう　全粒　赤えんどう　ゆで　　,4,148,25.2,9.2,1,0
えんどう　グリンピース（揚げ豆）　　　,4,423,58.8,20.8,11.6,0.9
えんどう　塩豆　　　,4,364,61.5,23.3,2.4,1.5
えんどう　うぐいす豆　,4,240,52.9,5.6,0.7,0.4
ささげ　全粒　乾　　　,4,336,55,23.9,2,0
ささげ　全粒　ゆで　　　,4,145,23.8,10.2,0.9,0
そらまめ　全粒　乾　　　,4,348,55.9,26,2,0
そらまめ　フライビーンズ　　　,4,472,46.4,24.7,20.8,1.8
そらまめ　おたふく豆　,4,251,52.2,7.9,1.2,0.4
そらまめ　ふき豆　,4,263,52.5,9.6,1.6,0.8
そらまめ　しょうゆ豆　,4,196,37.1,9.8,0.9,1.2
だいず　［全粒・全粒製品］　全粒　国産　黄大豆　乾　,4,422,29.5,33.8,19.7,0
